App,Market_Number
(new) Service Contract Mgmt System - AU,1
000162_TSA,1
001971_CQ-Online,1
002575_VFS China CMS,2
018390_TIM,42
018747_1C Homnet,1
018749_ACG,1
019135_VFS Americas Artiva,2
019137_VFS Americas ABS Suite,2
019141_CTOBB,1
019145_VFS Americas Business Objects NA,4
019146_BO-InfoView NW,5
019148_Charisma Romania,1
019149_VFS Americas CIC (Phone System),2
019152_CoreView,9
019153_CPBI,1
019154_CAM - Credit Application Manager,3
019161_VFS Americas Customer Portal,2
019162_DATASTGE,2
019164_VFS Americas Dealer Directory,3
019165_Dealer Portal,2
019168_VFS Americas Great Plains,2
019170_VFS Americas Ecounsel,2
019172_eTrafic,1
019174_VFS Americas CreditPath,2
019175_Fast Developers,1
019176_FCA - Contract Admin,1
019178_File On Q,2
019179_LeaseFlex,1
019182_VFS Americas FootPrints,2
019186_VFS Americas Hyland Onbase,3
019187_VFS Americas Hyperion,6
019188_VFS Americas InfoLease,2
019189_VFS Americas InSource,2
019193_VFS Americas IT2,3
019198_KPI,1
019202_LEO,8
019204_VFS AUS LLAS,1
019207_VFS MODULO - Risk Manager,1
019208_VFS Americas MVPreferred - NA,2
019214_OpenLease,3
019216_PARABAN,1
019220_CTCPJVFS,1
019222_VFS Connect,35
019223_VFS Americas Pyramid,2
019229_SAS - NA,2
019232_SEFIN,1
019233_SIEL,2
019234_CTSIENS,1
019235_Quiver,1
019237_Evolan,1
019238_Statement Factory,1
019240_SuperOffice,9
019241_VFS Americas SuperTrump,2
019243_Synapse,1
019248_VFS Americas TransACTION,2
019251_Tvalue,4
019252_TX System,1
019254_CTUNISISTEMAS,1
019256_Vienna,8
019259_CLVIEW - ALL CHILE,1
019269_VFS AUS WAS,1
021129_VFSMD,27
025271_Report Center,2
025273_Interbank Lending CNY,1
025274_CBRC-Doc Handling System,1
025275_CBRC-Reporting System,1
025276_PBOC-CCR,1
025277_PBOC-AML,1
025281_Auto Invoicing System,2
028792_CTCREDRSK - Credit Risk Pack,1
029334_Longtop Leasing Disclosure,1
029335_Longtop CIS Database,1
030064_Serasa,1
031698_VFS Americas WFS,4
032286_FinanceFlex,1
032290_VFS Americas Rapport,3
033792_PBOC T+1 Individual,1
035189_Viewpoint v2,1
036289_Integration Manager,1
036291_VFS Americas Data Warehouse,3
036292_Sage Software,2
036296_VFS Americas Salesforce,2
039340_Initiations Database,2
039388_DWH Nordics-VFSI,9
039389_MS Rep. Nordics - VFSI,4
039391_Data Warehouse NW,5
039498_Atmosfera,8
039501_Atori,3
039897_1S ErnstYoung,1
039922_Adramatch Nordic,4
040353_CTSIENSAOL,1
041639_Invoicing VFS Nordic,9
042031_Concur,1
042718_CTMIU,1
042764_Self Billers,2
042767_VFS NW Homepage,3
042768_VFS NW IT Call Log,6
042937_CC Extensions Upload,1
042943_RFL - Road Fund License,1
042946_Terminations SS,1
042950_TSA Uploads,2
042951_Wholesale Converter,2
043958_CTPORTALNEWPAGE,1
044361_CTCONTROLWEB,1
044843_Japan Lease Vision CMS,1
046223_VFS Americas Finasist,1
046480_VFS DCS,2
046861_India VFSOne CMS,1
050562_Invoicing Solution,9
051810_AUTBANK,1
054685_KHR Reporting Tool,1
054959_Customer Service Desk Romania,1
054993_BRCRK,1
056585_DemandTool,40
057227_India VFSOne LOS,1
058045_VFS Navision China,2
058204_DTT - Document Tracking Tool,1
058205_Evolan-CR,1
059546_VFS Bank Broker,9
059560_VFS Americas QlikView,5
060047_E-Financeira,1
060215_Charisma EMEA,4
060480_AccessPay,1
060562_VFS Redmine,1
060898_CLCRK,1
061729_LeaseSoft,1
062900_DMO,1
063127_Finscan Brazil,1
063182_Deficiency DB,1
063183_VFS Americas Funding Services,3
063186_VFS Dealer Business Support,1
063443_APAC DWH,2
063444_NAV VFS EMEA,15
063952_ACE,4
063986_Bancen STA,1
065467_VFS Americas Navision,5
065513_VFS CreditSafe,3
066738_VFS Credit Navigator,2
072424_VFS China CSG,2
073029_VFS Navision,2
076720_Finscan AFC,1
076774_CCX - China ChengXin,2
076782_SDZB - Transino,1
077172_Spring,1
077543_Finscan EMEA,35
077564_VFS CallCredit,1
077793_FlexiCapture,2
078530_VFS Americas Reporting Tool,2
078815_Parts and Services Financing,1
078889_OpusCapita Invoicing,4
081019_VFS Navision Korea,1
081020_VFS Korea iFIS-Origination,1
081021_VFS Korea iFIS-CAM,1
081265_Qualtrics,9
081945_ABS System,2
082497_VFS DBB (Data Backbone),31
082601_Loan Management System,1
084620_VFS Americas Chrome River,3
084631_VFS Korea MakeBill,1
084632_VFS Korea NICE,1
084633_VFS Korea K-Credit,1
084634_VFS Korea KFTC,1
084635_VFS Korea BNP Pariba,1
084636_VFS Korea Finscan,1
084637_VFS Korea ImagingSystem,1
084638_VFS Korea VRS,1
084639_VFS Korea SkyMNet,1
088985_AGS Customer Portal,7
089491_VFS Bisnode,1
095300_VFS China E-Invoice,2
095696_VFS Americas SAC-F,1
096202_Denodo,2
096371_Document Capture Application,1
096836_Volvo Pay,8
096970_Service Connect - VFS EMEA,7
097464_VFS Finscan APAC,4
097741_IS NOVA,1
098054_HiPath3000,1
098738_VFS Korea CMI,1
099858_VFS HPI,1
099974_Webdox,1
100270_SUCAVE Software,1
100330_Arrow Truck Website,1
102424_Title & License,1
102426_ServU,2
103069_Clockify,8
103120_VFS Americas Infrastructure,2
103587_Adobe Sign,21
103858_uPilot,2
104021_Evo4Web,1
104761_DBB API,1
105495_VFS Japan MailDealer,1
105686_Irish Credit Register,1
105754_Copado,6
105756_CIP,1
105836_Monarch,1
106188_Onguard-VFS,10
106231_Iron Mountain,1
106275_China 2G PBOC Upload,1
106333_India e-Sign,1
106358_Sales Connect - VFS EMEA,11
106611_VFS China AMFE,1
106874_Punch Out 2 Go,2
107166_Bank of Slovenia,1
109443_VFS Japan File Transfer Application,1
109444_VFS Japan Quick Quotation Application,1
109445_VFS Japan Report Center,1
109890_1C Ferronordic,1
111072_VFS EMEA DWH R2,33
111257_China-E-Signature,2
112370_VFS China Routing Service,2
112371_KOINE,1
112599_AGS Data Extractor,8
112847_VFS Americas CTBIVFS,1
113977_VFS Intl Navision,1
114632_VFS China EAST,1
115007_India Credit Portal,1
115255_SiteShop CMS Integration,4
115679_TWS - Total Wholesale Solution,1
116753_VFS China IMAS,1
117018_VFS NA Automation,1
118471_CTEXPERIAN,1
118853_Finscan VFS Global,2
119401_VFS CN Private Cloud,2
119960_VFS China Quick Quotation Tool,2
119961_VFS China ABC Direct Debit Authorization System,2
119962_VFS China Payment Allocation Tool,2
120011_Pagero,1
120298_VFS China Invoice Verification Tool,2
120776_Zuora Billing and Subscription Management SaaS,1
120951_India eNACH mandate registration system,1
121150_Manage Engine Central Logging Tool,1
122282_Credit Registry (Russia),1
122285_MARSHSAT (Russia),1
122764_VFS China DSG,2
122767_eControl,1
123608_Archi Modeling Tool,9
124087_VFS NA Blackline,2
125234_VFS Korea Home Office Solution,1
125355_Ellisphere VFS,1
125602_Data Pond Regions NC & SW,16
125828_2Z Solucoes for Rental,1
126887_Pergamin,1
127500_Mindgram,1
127825_VFS China Artificial Intelligence Collection Call,2
127996_VFS China Marketing Communication Mini-Program,2
128229_Data Pond for Region Central East & East,18
128460_BC Rental Company IT,1
128461_SAS Viya,20
128794_VFS Americas eVault,2
129329_VFS China Payment Allocation System,2
129580_VFS China Communication Platform,2
DRIVESAM,1
IDERA,1
SouthPac,1
VFS Business Central,1
VFS Data Pond,34
VFS FinScan,40
VFS Navision,26
VFS Salesforce,2